id,timestamp,shard,load,expected_end_time,actual_end_time,delay
0,0.01,75,3.472,3.482,3.482,0.0
1,0.045,100,1.544,1.589,1.589,0.0
2,0.08,40,8.1,8.18,8.18,0.0
3,0.09,24,5.17,5.26,5.26,0.0
4,0.11,29,14.453,14.563,14.563,0.0
5,0.15,96,3.754,3.904,3.904,0.0
6,0.17,17,1.797,1.967,1.967,0.0
7,0.18,86,5.695,5.875,5.875,0.0
9,0.185,96,5.551,5.736,5.736,0.0
8,0.185,38,2.122,2.307,2.307,0.0
10,0.19,36,3.633,3.823,3.823,0.0
11,0.24,31,4.743,4.983,4.983,0.0
12,0.245,14,0.334,0.579,0.579,0.0
14,0.25,15,4.586,4.836,4.836,0.0
13,0.25,97,4.784,5.034,5.034,0.0
15,0.265,100,11.592,11.857,11.857,0.0
16,0.285,94,4.991,5.276,5.276,0.0
17,0.345,57,0.456,0.801,0.801,0.0
18,0.55,36,0.174,0.724,0.724,0.0
19,0.55,37,3.679,4.229,4.229,0.0
20,0.6,8,5.464,6.064,6.064,0.0
21,0.705,20,2.554,3.259,3.259,0.0
22,0.725,18,4.691,5.416,5.416,0.0
23,0.82,5,4.984,5.804,5.804,0.0
24,0.835,15,2.116,2.951,2.951,0.0
25,0.84,33,2.841,3.681,3.681,0.0
27,1.0,94,1.123,2.123,2.123,0.0
28,1.05,50,2.231,3.281,3.281,0.0
29,1.08,52,4.647,5.727,5.727,0.0
30,1.589,3,1.525,2.62,3.114,0.494
32,2.21,69,0.838,3.048,3.048,0.0
31,2.307,63,4.139,5.384,6.446,1.062
33,2.92,83,3.65,6.57,6.57,0.0
26,3.482,38,6.647,7.537,10.129,2.592
34,5.02,58,1.986,7.006,7.006,0.0
35,5.195,72,4.032,9.227,9.227,0.0
36,5.27,17,0.986,6.256,6.256,0.0
37,5.29,54,3.973,9.263,9.263,0.0
38,5.51,18,5.266,10.776,10.776,0.0
39,5.74,12,2.294,8.034,8.034,0.0
40,5.985,56,4.211,10.196,10.196,0.0
41,6.255,55,0.814,7.069,7.069,0.0
42,6.305,78,1.195,7.5,7.5,0.0
43,6.565,2,2.161,8.726,8.726,0.0
44,7.65,99,0.368,8.018,8.018,0.0
45,8.205,96,2.59,10.795,10.795,0.0
46,10.145,39,5.33,15.475,15.475,0.0
47,10.27,71,5.853,16.123,16.123,0.0
48,10.335,80,7.071,17.406,17.406,0.0
49,10.73,77,5.259,15.989,15.989,0.0
50,10.945,96,5.858,16.803,16.803,0.0
51,10.955,43,4.914,15.869,15.869,0.0
52,11.21,76,4.895,16.105,16.105,0.0
53,11.345,39,1.675,13.02,13.02,0.0
54,11.67,6,6.118,17.788,17.788,0.0
55,11.7,25,4.013,15.713,15.713,0.0
56,11.965,34,4.014,15.979,15.979,0.0
57,12.11,71,7.003,19.113,19.113,0.0
58,12.28,30,2.912,15.192,15.192,0.0
59,15.01,31,0.892,15.902,15.902,0.0
60,15.035,64,0.999,16.034,16.034,0.0
61,15.165,93,4.875,20.04,20.04,0.0
63,15.29,84,3.78,19.07,19.07,0.0
64,15.455,41,2.359,17.814,17.814,0.0
65,15.565,40,0.321,15.886,15.886,0.0
62,15.713,66,1.249,16.419,16.962,0.543
66,15.92,71,5.576,21.496,21.496,0.0
67,15.965,5,3.502,19.467,19.467,0.0
68,16.06,45,3.468,19.528,19.528,0.0
69,16.11,88,11.026,27.136,27.136,0.0
70,16.54,91,7.14,23.68,23.68,0.0
71,16.615,75,8.891,25.506,25.506,0.0
72,16.695,78,1.006,17.701,17.701,0.0
73,16.935,62,2.135,19.07,19.07,0.0
74,16.94,77,0.94,17.88,17.88,0.0
75,17.2,68,2.167,19.367,19.367,0.0
76,20.06,89,7.467,27.527,27.527,0.0
77,20.11,30,5.437,25.547,25.547,0.0
78,20.2,88,1.125,21.325,21.325,0.0
79,20.225,60,3.92,24.145,24.145,0.0
80,20.325,65,2.811,23.136,23.136,0.0
81,20.38,35,2.193,22.573,22.573,0.0
82,20.515,66,8.793,29.308,29.308,0.0
83,20.53,22,1.597,22.127,22.127,0.0
84,20.605,4,1.92,22.525,22.525,0.0
85,20.735,91,3.357,24.092,24.092,0.0
86,20.86,81,2.567,23.427,23.427,0.0
87,20.91,83,1.795,22.705,22.705,0.0
88,20.97,49,3.901,24.871,24.871,0.0
89,21.56,80,1.944,23.504,23.504,0.0
90,21.67,44,4.811,26.481,26.481,0.0
91,21.715,68,3.056,24.771,24.771,0.0
92,21.82,40,3.591,25.411,25.411,0.0
93,23.035,64,5.423,28.458,28.458,0.0
94,25.17,64,2.444,27.614,27.614,0.0
95,25.19,52,1.388,26.578,26.578,0.0
96,25.32,63,6.904,32.224,32.224,0.0
97,25.355,95,1.242,26.597,26.597,0.0
98,25.38,79,0.824,26.204,26.204,0.0
99,25.505,98,3.923,29.428,29.428,0.0
100,25.63,75,2.233,27.863,27.863,0.0
101,25.95,91,3.412,29.362,29.362,0.0
102,26.035,30,2.574,28.609,28.609,0.0
103,26.325,8,5.388,31.713,31.713,0.0
104,26.48,83,13.243,39.723,39.723,0.0
105,26.78,25,4.454,31.234,31.234,0.0
106,27.22,63,2.88,30.1,30.1,0.0
107,28.145,67,6.742,34.887,34.887,0.0
108,30.22,6,1.881,32.101,32.101,0.0
109,30.33,57,8.024,38.354,38.354,0.0
110,30.67,76,0.779,31.449,31.449,0.0
111,30.765,17,9.864,40.629,40.629,0.0
112,31.34,72,1.506,32.846,32.846,0.0
113,31.595,77,3.347,34.942,34.942,0.0
114,31.99,32,3.548,35.538,35.538,0.0
115,32.405,15,6.749,39.154,39.154,0.0
116,33.12,81,2.078,35.198,35.198,0.0
117,35.415,86,0.806,36.221,36.221,0.0
118,35.43,70,0.282,35.712,35.712,0.0
119,35.45,66,1.123,36.573,36.573,0.0
120,36.025,74,1.658,37.683,37.683,0.0
121,36.33,66,3.315,39.645,39.645,0.0
122,36.545,87,4.297,40.842,40.842,0.0
123,37.825,57,1.675,39.5,39.5,0.0
124,38.355,57,3.102,41.457,41.457,0.0
125,42.16,98,1.87,44.03,44.03,0.0
126,42.48,20,4.186,46.666,46.666,0.0
127,43.77,26,7.886,51.656,51.656,0.0
128,45.055,58,0.167,45.222,45.222,0.0
129,45.115,4,4.949,50.064,50.064,0.0
130,45.15,4,8.33,53.48,53.48,0.0
131,45.195,18,5.523,50.718,50.718,0.0
132,45.28,38,3.006,48.286,48.286,0.0
133,45.5,12,3.875,49.375,49.375,0.0
134,45.505,64,3.39,48.895,48.895,0.0
135,45.61,44,2.023,47.633,47.633,0.0
136,45.865,84,3.082,48.947,48.947,0.0
137,45.89,45,6.797,52.687,52.687,0.0
138,45.97,35,3.087,49.057,49.057,0.0
139,46.25,86,17.023,63.273,63.273,0.0
140,46.255,36,2.482,48.737,48.737,0.0
141,47.805,50,6.909,54.714,54.714,0.0
142,48.24,1,8.747,56.987,56.987,0.0
143,50.105,38,3.858,53.963,53.963,0.0
144,50.13,38,1.461,51.591,51.591,0.0
145,50.2,44,3.693,53.893,53.893,0.0
146,50.215,28,3.264,53.479,53.479,0.0
147,50.255,31,3.616,53.871,53.871,0.0
148,50.3,76,3.402,53.702,53.702,0.0
149,50.305,23,1.568,51.873,51.873,0.0
151,50.335,2,4.317,54.652,54.652,0.0
152,50.44,53,4.659,55.099,55.099,0.0
153,50.465,4,1.046,51.511,51.511,0.0
154,50.54,73,4.332,54.872,54.872,0.0
155,50.935,23,4.532,55.467,55.467,0.0
156,51.55,51,1.109,52.659,52.659,0.0
150,51.591,55,1.506,51.826,53.097,1.271
157,52.675,42,9.642,62.317,62.317,0.0
158,53.645,69,2.229,55.874,55.874,0.0
159,55.315,45,4.916,60.231,60.231,0.0
160,55.365,53,1.336,56.701,56.701,0.0
161,55.46,94,5.977,61.437,61.437,0.0
162,55.485,58,3.594,59.079,59.079,0.0
163,55.705,84,5.822,61.527,61.527,0.0
164,55.95,38,6.892,62.842,62.842,0.0
165,56.155,96,2.97,59.125,59.125,0.0
166,56.74,79,2.078,58.818,58.818,0.0
167,56.84,46,0.772,57.612,57.612,0.0
168,57.135,36,2.022,59.157,59.157,0.0
169,58.26,100,1.611,59.871,59.871,0.0
170,60.045,83,8.29,68.335,68.335,0.0
171,60.08,91,0.533,60.613,60.613,0.0
172,60.165,56,1.273,61.438,61.438,0.0
173,60.26,38,2.64,62.9,62.9,0.0
174,60.26,5,0.638,60.898,60.898,0.0
175,60.335,2,4.669,65.004,65.004,0.0
176,60.56,18,3.016,63.576,63.576,0.0
177,60.705,73,2.14,62.845,62.845,0.0
178,61.025,8,8.827,69.852,69.852,0.0
179,61.095,27,1.682,62.777,62.777,0.0
180,61.595,61,1.936,63.531,63.531,0.0
181,61.655,80,0.88,62.535,62.535,0.0
182,64.045,73,4.851,68.896,68.896,0.0
183,65.13,17,3.347,68.477,68.477,0.0
184,66.385,52,1.51,67.895,67.895,0.0
185,66.585,66,2.596,69.181,69.181,0.0
186,66.625,39,5.716,72.341,72.341,0.0
187,69.235,74,0.913,70.148,70.148,0.0
188,70.225,77,0.144,70.369,70.369,0.0
189,70.455,15,12.204,82.659,82.659,0.0
190,70.57,17,1.519,72.089,72.089,0.0
191,70.925,2,1.207,72.132,72.132,0.0
192,71.425,88,3.641,75.066,75.066,0.0
193,71.76,95,1.794,73.554,73.554,0.0
194,71.94,69,2.305,74.245,74.245,0.0
195,72.575,97,1.246,73.821,73.821,0.0
196,72.83,69,0.481,73.311,73.311,0.0
197,75.25,4,4.566,79.816,79.816,0.0
198,75.43,37,7.926,83.356,83.356,0.0
199,75.47,71,1.618,77.088,77.088,0.0
200,75.68,40,3.043,78.723,78.723,0.0
201,75.69,52,4.809,80.499,80.499,0.0
202,75.875,100,1.589,77.464,77.464,0.0
203,76.265,81,5.523,81.788,81.788,0.0
204,76.27,9,6.044,82.314,82.314,0.0
205,76.44,1,1.605,78.045,78.045,0.0
206,76.71,43,5.169,81.879,81.879,0.0
207,77.28,39,0.791,78.071,78.071,0.0
208,78.065,13,5.701,83.766,83.766,0.0
209,80.085,59,4.959,85.044,85.044,0.0
210,80.13,3,6.633,86.763,86.763,0.0
211,80.17,88,0.697,80.867,80.867,0.0
212,80.2,40,1.888,82.088,82.088,0.0
213,80.22,19,1.695,81.915,81.915,0.0
214,80.27,77,2.464,82.734,82.734,0.0
215,80.37,96,3.235,83.605,83.605,0.0
216,80.375,63,3.767,84.142,84.142,0.0
217,80.4,71,0.968,81.368,81.368,0.0
218,80.405,58,3.902,84.307,84.307,0.0
219,80.415,57,5.679,86.094,86.094,0.0
220,80.48,30,6.972,87.452,87.452,0.0
221,80.495,35,1.919,82.414,82.414,0.0
222,80.505,92,4.976,85.481,85.481,0.0
223,80.515,89,4.18,84.695,84.695,0.0
224,80.575,81,5.398,85.973,85.973,0.0
225,80.61,92,3.45,84.06,84.06,0.0
227,80.995,84,8.475,89.47,89.47,0.0
228,81.24,48,0.893,82.133,82.133,0.0
229,81.72,24,0.435,82.155,82.155,0.0
226,81.788,81,11.199,91.899,92.987,1.088
230,81.83,78,6.37,88.2,88.2,0.0
231,81.895,72,4.031,85.926,85.926,0.0
232,82.065,21,2.319,84.384,84.384,0.0
233,83.766,51,2.33,84.595,86.096,1.501
234,85.02,15,0.522,85.542,85.542,0.0
235,85.075,86,5.701,90.776,90.776,0.0
236,85.15,53,3.531,88.681,88.681,0.0
237,85.27,64,6.667,91.937,91.937,0.0
238,85.31,16,4.101,89.411,89.411,0.0
239,85.35,69,0.375,85.725,85.725,0.0
